model,dev_fold,test_fold,epoch,dev_r2,test_r2,dev_rmse,test_rmse,dev_mae,test_mae,tr_loss,dev_loss,test_loss
resnet,9,2,26,-0.827402,0.248025,5.920822,3.738863,4.838459,2.988597,0.708158,35.056135,13.979098
resnet,9,3,23,-0.946651,-0.060607,5.999462,3.573007,4.993395,2.86857,1.013373,35.993549,12.766383
resnet,9,4,6,-0.323885,-0.83321,5.082956,5.031702,4.212338,4.32842,11.848452,25.83644,25.318022
resnet,9,5,13,-0.662856,-0.077558,5.448914,4.667184,4.377737,3.924606,2.043626,29.690666,21.782604
resnet,9,6,8,-0.597513,-0.070677,5.44496,4.80908,4.213444,3.857867,4.587776,29.647586,23.12725
resnet,9,7,19,-0.577039,-2.79417,5.318081,6.449999,4.499004,5.173944,1.30814,28.281986,41.602482
resnet,9,8,27,-0.458647,-0.765983,5.164971,4.818302,4.009483,4.099724,0.827629,26.676925,23.216039
squeeze,0,1,0,-0.221663,-0.166399,4.662809,3.856369,2.754179,3.499697,64.926098,21.741791,14.871582
squeeze,0,2,0,-0.086825,-0.843786,5.050362,5.604871,3.912208,4.214056,77.748349,25.506154,31.41458
squeeze,0,3,1,-0.03491,0.112335,4.877167,3.421289,3.237017,2.956554,34.2956,23.786762,11.705216
squeeze,0,4,0,-0.066629,-1.182179,4.951344,6.066877,3.77127,5.066876,66.260258,24.515807,36.80699
squeeze,0,5,0,-0.047315,-0.665393,4.730991,5.835952,3.150338,4.576145,66.225604,22.382274,34.058334
squeeze,0,6,1,-0.011188,0.080198,4.906121,4.707979,3.416191,3.299791,33.96975,24.070027,22.165065
squeeze,0,7,0,-0.088806,-2.594221,4.744111,6.28438,4.235961,5.424119,78.271813,22.50659,39.493429
squeeze,0,8,13,-0.251968,-0.115932,5.23137,3.885726,3.406575,3.492566,15.799525,27.367236,15.098867
squeeze,0,9,16,-0.388493,-0.630271,5.608264,5.568357,3.728991,4.385959,15.20884,31.452628,31.006599
squeeze,1,0,25,0.439347,-0.787492,2.730372,6.320823,2.268768,4.534524,14.668406,7.454933,39.952803
